Value,Count
-1.91,1
-1.18,1
-1.07,1
-1.02,1
-0.75,1
-0.69,1
-0.52,1
-0.31,1
-0.16,1
-0.13,1
0.11,3
0.12,4
0.13,25
0.15,1
0.16,10
0.17,2
0.18,2
0.19,3
0.2,46
0.22,2
0.23,28
0.24,29
0.25,10
0.26,19
0.27,6
0.28,10
0.29,35
0.3,66
0.31,33
0.32,37
0.33,81
0.34,78
0.35,79
0.36,50
0.37,35
0.38,60
0.39,71
0.4,25
0.41,51
0.42,297
0.43,39
0.44,85
0.45,120
0.46,63
0.47,36
0.48,35
0.49,32
0.5,42
0.51,56
0.52,58
0.53,133
0.54,63
0.55,51
0.56,98
0.57,80
0.58,90
0.59,47
0.6,87
0.61,78
0.62,45
0.63,37
0.64,64
0.65,124
0.66,113
0.67,337
0.68,139
0.69,77
0.7,149
0.71,85
0.72,57
0.73,99
0.74,110
0.75,26
0.76,112
0.77,100
0.78,242
0.79,182
0.8,201
0.81,229
0.82,358
0.83,481
0.84,529
0.85,693
0.86,905
0.87,630
0.88,1262
0.89,4333
0.9,2682
0.91,1710
0.92,1767
0.93,1846
0.94,1799
0.95,1495
0.96,1178
0.97,1608
0.98,1639
0.99,1136
1.0,1029
1.01,545
1.02,1347
1.03,650
1.04,1369
1.05,478
1.06,1532
1.07,459
1.08,1249
1.09,673
1.1,991
1.11,1100
1.12,947
1.13,505
1.14,1220
1.15,1515
1.16,889
1.17,1609
1.18,981
1.19,2883
1.2,1149
1.21,3014
1.22,1350
1.23,3602
1.24,3688
1.25,4976
1.26,1501
1.27,4870
1.28,1896
1.29,4398
1.3,1470
1.31,3757
1.32,1759
1.33,4308
1.34,2081
1.35,3527
1.36,4227
1.37,1500
1.38,2301
1.39,2312
1.4,5910
1.41,3751
1.42,4968
1.43,2143
1.44,4109
1.45,1247
1.46,7796
1.47,1329
1.48,3342
1.49,1223
1.5,3131
1.51,1220
1.52,3203
1.53,1190
1.54,3433
1.55,1655
1.56,3802
1.57,2381
1.58,3073
1.59,2292
1.6,3066
1.61,3062
1.62,2602
1.63,1305
1.64,2783
1.65,3058
1.66,2338
1.67,3103
1.68,2143
1.69,3872
1.7,1391
1.71,3598
1.72,1368
1.73,3864
1.74,1290
1.75,4073
1.76,1598
1.77,4378
1.78,1513
1.79,3848
1.8,1292
1.81,3455
1.82,1817
1.83,3308
1.84,2568
1.85,2717
1.86,2611
1.87,1328
1.88,2446
1.89,2534
1.9,2640
1.91,2558
1.92,3006
1.93,1802
1.94,3831
1.95,1489
1.96,3024
1.97,1824
1.98,2874
1.99,1790
2.0,2615
2.01,1622
2.02,3075
2.03,1319
2.04,3538
2.05,2096
2.06,2263
2.07,1326
2.08,3398
2.09,2495
2.1,2066
2.11,1146
2.12,3266
2.13,2277
2.14,1088
2.15,2401
2.16,2588
2.17,3171
2.18,1079
2.19,2260
2.2,2192
2.21,3222
2.22,1414
2.23,2610
2.24,2081
2.25,3194
2.26,2095
2.27,2865
2.28,1886
2.29,4292
2.3,2955
2.31,3673
2.32,1462
2.33,5154
2.34,3029
2.35,3068
2.36,1651
2.37,2984
2.38,4144
2.39,1928
2.4,2958
2.41,2504
2.42,3746
2.43,1705
2.44,2706
2.45,2404
2.46,4153
2.47,1576
2.48,2480
2.49,2012
2.5,3961
2.51,1885
2.52,2669
2.53,1673
2.54,3365
2.55,2303
2.56,2361
2.57,1154
2.58,4022
2.59,2656
2.6,2576
2.61,1430
2.62,4218
2.63,2801
2.64,1289
2.65,2538
2.66,2353
2.67,3522
2.68,1299
2.69,2839
2.7,2598
2.71,4207
2.72,1964
2.73,2933
2.74,2166
2.75,4296
2.76,2262
2.77,2921
2.78,2152
2.79,4376
2.8,3015
2.81,3333
2.82,1510
2.83,4233
2.84,2789
2.85,2869
2.86,1487
2.87,2878
2.88,4308
2.89,1532
2.9,2723
2.91,3205
2.92,4649
2.93,1849
2.94,2991
2.95,2820
2.96,3698
2.97,1895
2.98,2853
2.99,2094
3.0,4173
3.01,2015
3.02,2800
3.03,1716
3.04,3168
3.05,2185
3.06,2349
3.07,1055
3.08,3323
3.09,2104
3.1,1909
3.11,993
3.12,2658
3.13,1820
3.14,869
3.15,1813
3.16,1743
3.17,2384
3.18,868
3.19,1595
3.2,1944
3.21,2585
3.22,1215
3.23,1669
3.24,1751
3.25,2424
3.26,1368
3.27,2056
3.28,1288
3.29,2738
3.3,2181
3.31,2097
3.32,848
3.33,3187
3.34,1847
3.35,2197
3.36,1045
3.37,2095
3.38,3709
3.39,1131
3.4,2473
3.41,2607
3.42,3269
3.43,969
3.44,2037
3.45,2007
3.46,3033
3.47,1326
3.48,2102
3.49,2167
3.5,3488
3.51,1575
3.52,2592
3.53,1712
3.54,3539
3.55,3215
3.56,2914
3.57,1350
3.58,4297
3.59,3027
3.6,2683
3.61,1274
3.62,3762
3.63,3039
3.64,2306
3.65,3210
3.66,3859
3.67,4834
3.68,1476
3.69,3226
3.7,3464
3.71,4958
3.72,2151
3.73,3411
3.74,2277
3.75,4139
3.76,2804
3.77,4249
3.78,2457
3.79,5067
3.8,6514
3.81,3720
3.82,1946
3.83,6454
3.84,3458
3.85,3981
3.86,2548
3.87,5011
3.88,9468
3.89,1779
3.9,3810
3.91,3451
3.92,4952
3.93,1514
3.94,2832
3.95,2307
3.96,4470
3.97,1627
3.98,3102
3.99,1722
4.0,3365
4.01,1456
4.02,1709
4.03,2102
4.04,3218
4.05,1996
4.06,1993
4.07,1646
4.08,2704
4.09,1300
4.1,1809
4.11,2137
4.12,3780
4.13,3375
4.14,2939
4.15,1928
4.16,1583
4.17,2730
4.18,1689
4.19,2658
4.2,1970
4.21,3369
4.22,1831
4.23,1907
4.24,1171
4.25,1945
4.26,1444
4.27,1543
4.28,1590
4.29,2427
4.3,1661
4.31,2215
4.32,1163
4.33,1948
4.34,1200
4.35,1232
4.36,1554
4.37,1830
4.38,2945
4.39,1406
4.4,997
4.41,761
4.42,1318
4.43,944
4.44,1198
4.45,1339
4.46,1972
4.47,1166
4.48,1297
4.49,736
4.5,1581
4.51,734
4.52,1013
4.53,1195
4.54,2086
4.55,1193
4.56,1182
4.57,1198
4.58,1365
4.59,698
4.6,1301
4.61,1139
4.62,1858
4.63,1337
4.64,1278
4.65,1368
4.66,729
4.67,1315
4.68,1144
4.69,1339
4.7,1231
4.71,1791
4.72,1146
4.73,1087
4.74,787
4.75,1117
4.76,866
4.77,1099
4.78,1076
4.79,1438
4.8,953
4.81,925
4.82,712
4.83,932
4.84,539
4.85,730
4.86,868
4.87,790
4.88,1041
4.89,724
4.9,690
4.91,494
4.92,939
4.93,649
4.94,827
4.95,783
4.96,1767
4.97,742
4.98,660
4.99,496
5.0,915
5.01,582
5.02,802
5.03,786
5.04,1529
5.05,1097
5.06,811
5.07,1020
5.08,1231
5.09,1050
5.1,824
5.11,1188
5.12,1629
5.13,897
5.14,907
5.15,958
5.16,673
5.17,944
5.18,665
5.19,675
5.2,805
5.21,1193
5.22,786
5.23,767
5.24,568
5.25,1708
5.26,415
5.27,693
5.28,545
5.29,1032
5.3,553
5.31,524
5.32,680
5.33,674
5.34,302
5.35,512
5.36,555
5.37,957
5.38,830
5.39,434
5.4,400
5.41,391
5.42,710
5.43,550
5.44,478
5.45,472
5.46,741
5.47,547
5.48,525
5.49,375
5.5,592
5.51,364
5.52,457
5.53,462
5.54,708
5.55,557
5.56,531
5.57,421
5.58,503
5.59,317
5.6,427
5.61,575
5.62,808
5.63,527
5.64,540
5.65,469
5.66,357
5.67,558
5.68,468
5.69,627
5.7,551
5.71,810
5.72,598
5.73,664
5.74,452
5.75,719
5.76,458
5.77,573
5.78,698
5.79,1192
5.8,613
5.81,608
5.82,581
5.83,752
5.84,436
5.85,652
5.86,602
5.87,638
5.88,1153
5.89,749
5.9,623
5.91,428
5.92,1012
5.93,814
5.94,852
5.95,743
5.96,1028
5.97,601
5.98,584
5.99,481
6.0,769
6.01,487
6.02,667
6.03,651
6.04,1284
6.05,723
6.06,537
6.07,548
6.08,649
6.09,388
6.1,560
6.11,565
6.12,1016
6.13,615
6.14,630
6.15,543
6.16,391
6.17,593
6.18,568
6.19,674
6.2,663
6.21,986
6.22,627
6.23,633
6.24,510
6.25,796
6.26,452
6.27,629
6.28,611
6.29,1036
6.3,696
6.31,656
6.32,653
6.33,830
6.34,464
6.35,722
6.36,910
6.37,854
6.38,1224
6.39,870
6.4,753
6.41,663
6.42,1027
6.43,887
6.44,942
6.45,943
6.46,1405
6.47,1083
6.48,988
6.49,799
6.5,1221
6.51,837
6.52,1405
6.53,1373
6.54,1817
6.55,1200
6.56,1263
6.57,1198
6.58,1529
6.59,973
6.6,1605
6.61,1719
6.62,2292
6.63,1757
6.64,1740
6.65,1517
6.66,1084
6.67,1874
6.68,1731
6.69,1997
6.7,2089
6.71,3088
6.72,2268
6.73,2105
6.74,1796
6.75,2325
6.76,1948
6.77,2360
6.78,2365
6.79,3691
6.8,3005
6.81,2908
6.82,2643
6.83,3439
6.84,1848
6.85,2868
6.86,3340
6.87,3332
6.88,4955
6.89,3600
6.9,2940
6.91,2091
6.92,3981
6.93,2770
6.94,3407
6.95,3467
6.96,5105
6.97,3411
6.98,3466
6.99,2912
7.0,4427
7.01,3320
7.02,3793
7.03,4040
7.04,5733
7.05,4262
7.06,4222
7.07,3592
7.08,4657
7.09,3017
7.1,3858
7.11,4826
7.12,7114
7.13,4905
7.14,5192
7.15,4373
7.16,3473
7.17,5882
7.18,4618
7.19,5587
7.2,5623
7.21,9250
7.22,6547
7.23,6482
7.24,5188
7.25,7186
7.26,5055
7.27,6707
7.28,7475
7.29,13402
7.3,6770
7.31,8191
7.32,5698
7.33,8198
7.34,4330
7.35,5748
7.36,6199
7.37,7000
7.38,10065
7.39,6065
7.4,5880
7.41,4167
7.42,6490
7.43,4783
7.44,5818
7.45,6068
7.46,8685
7.47,4846
7.48,5186
7.49,4074
7.5,5194
7.51,3922
7.52,4792
7.53,4590
7.54,6824
7.55,4449
7.56,4467
7.57,4013
7.58,4982
7.59,2590
7.6,3400
7.61,3951
7.62,5827
7.63,3809
7.64,3768
7.65,3337
7.66,2218
7.67,3710
7.68,3051
7.69,3544
7.7,3513
7.71,5604
7.72,3721
7.73,3408
7.74,2714
7.75,3268
7.76,2758
7.77,3217
7.78,3493
7.79,5120
7.8,3445
7.81,3622
7.82,2936
7.83,3624
7.84,1744
7.85,2829
7.86,3288
7.87,3096
7.88,4193
7.89,2882
7.9,2704
7.91,1815
7.92,3149
7.93,2807
7.94,2726
7.95,2718
7.96,3487
7.97,2203
7.98,2191
7.99,1782
8.0,2569
8.01,1091
8.02,2348
8.03,1578
8.04,2754
8.05,1786
8.06,1336
8.07,2195
8.08,961
8.09,2212
8.1,974
8.11,1711
8.12,2248
8.13,1414
8.14,1510
8.15,854
8.16,2030
8.17,744
8.18,1801
8.19,945
8.2,1244
8.21,1972
8.22,906
8.23,1653
8.24,671
8.25,1752
8.26,577
8.27,1555
8.28,843
8.29,1679
8.3,1054
8.31,728
8.32,1439
8.33,668
8.34,1686
8.35,582
8.36,1101
8.37,1022
8.38,1571
8.39,1074
8.4,577
8.41,1617
8.42,580
8.43,1413
8.44,690
8.45,879
8.46,1582
8.47,820
8.48,1372
8.49,550
8.5,1890
8.51,540
8.52,1317
8.53,663
8.54,1494
8.55,955
8.56,612
8.57,1140
8.58,620
8.59,1261
8.6,447
8.61,893
8.62,1337
8.63,964
8.64,1062
8.65,432
8.66,1299
8.67,382
8.68,1111
8.69,450
8.7,765
8.71,1059
8.72,497
8.73,901
8.74,292
8.75,845
8.76,297
8.77,900
8.78,423
8.79,714
8.8,577
8.81,290
8.82,675
8.83,270
8.84,768
8.85,255
8.86,512
8.87,481
8.88,762
8.89,423
8.9,227
8.91,583
8.92,227
8.93,522
8.94,259
8.95,365
8.96,522
8.97,253
8.98,462
8.99,236
9.0,549
9.01,200
9.02,540
9.03,230
9.04,489
9.05,326
9.06,226
9.07,453
9.08,160
9.09,437
9.1,168
9.11,334
9.12,370
9.13,279
9.14,378
9.15,145
9.16,402
9.17,226
9.18,348
9.19,141
9.2,210
9.21,309
9.22,140
9.23,364
9.24,147
9.25,316
9.26,164
9.27,374
9.28,163
9.29,337
9.3,298
9.31,115
9.32,298
9.33,129
9.34,297
9.35,125
9.36,213
9.37,206
9.38,259
9.39,214
9.4,85
9.41,280
9.42,92
9.43,239
9.44,86
9.45,162
9.46,268
9.47,108
9.48,262
9.49,121
9.5,293
9.51,93
9.52,256
9.53,139
9.54,246
9.55,173
9.56,107
9.57,287
9.58,145
9.59,292
9.6,148
9.61,218
9.62,397
9.63,209
9.64,253
9.65,119
9.66,349
9.67,176
9.68,261
9.69,205
9.7,216
9.71,265
9.72,210
9.73,344
9.74,122
9.75,234
9.76,126
9.77,285
9.78,126
9.79,289
9.8,231
9.81,148
9.82,264
9.83,145
9.84,342
9.85,95
9.86,297
9.87,584
9.88,418
9.89,275
9.9,107
9.91,398
9.92,133
9.93,639
9.94,202
9.95,676
9.96,553
9.97,86
9.98,367
9.99,107
10.0,108
