J_Value,Count
0.5,48
0.6,2314
0.7,22750
0.8,40752
0.9,99248
1.0,26303
1.1,22302
1.2,19271
1.3,31681
1.4,31914
1.5,29705
1.6,33571
1.7,18637
1.8,21373
1.9,16703
2.0,26245
2.1,39500
2.2,53395
2.3,7941
2.4,11811
2.5,10145
2.6,9380
2.7,5953
2.8,5767
2.9,7614
3.0,4608
3.1,9484
3.2,5231
3.3,9803
3.4,5732
3.5,12930
3.6,8431
3.7,10719
3.8,12599
3.9,10787
4.0,14201
4.1,8119
4.2,15320
4.3,8789
4.4,14641
4.5,9422
4.6,16791
4.7,12585
4.8,22817
4.9,15251
5.0,17026
5.1,20372
5.2,11816
5.3,20127
5.4,10436
5.5,21966
5.6,13877
5.7,26155
5.8,16638
5.9,20416
6.0,27865
6.1,13921
6.2,24868
6.3,18706
6.4,32079
6.5,14075
6.6,28192
6.7,13109
6.8,20543
6.9,11949
7.0,24776
7.1,21878
7.2,16472
7.3,22225
7.4,12750
7.5,26616
7.6,14363
7.7,27136
7.8,18131
7.9,27487
8.0,17732
8.1,27337
8.2,28574
8.3,13094
8.4,21868
8.5,10747
8.6,19114
8.7,8623
8.8,15019
8.9,6466
9.0,8760
9.1,4018
9.2,6121
9.3,4422
9.4,1564
9.5,2692
9.6,1043
9.7,2459
9.8,969
9.9,2375
10.0,913
10.1,4321
10.2,3957
10.3,1873
10.4,2751
10.5,989
10.6,2416
10.7,1040
10.8,3475
10.9,1241
11.0,4082
11.1,1511
11.2,4828
11.3,4857
11.4,3353
11.5,4527
11.6,1695
11.7,4306
11.8,1588
11.9,5425
12.0,1490
12.1,12378
12.2,3261
12.3,5136
12.4,5030
12.5,1938
12.6,5620
12.7,1628
12.8,6313
12.9,1469
13.0,6775
13.1,1532
13.2,5715
13.3,1909
13.4,6229
13.5,2164
13.6,5035
13.7,5291
13.8,1837
13.9,5557
14.0,1348
14.1,5637
14.2,1442
14.3,4016
14.4,1070
14.5,3202
14.6,1468
14.7,2746
14.8,3317
14.9,688
15.0,2686
15.1,669
15.2,2419
15.3,544
15.4,2017
15.5,437
15.6,1934
15.7,803
15.8,1649
15.9,1835
16.0,495
16.1,2129
16.2,799
16.3,2500
16.4,531
16.5,2014
16.6,670
16.7,1639
16.8,966
16.9,1874
17.0,2013
17.1,397
17.2,1235
17.3,329
17.4,444
17.5,104
17.6,347
17.7,63
17.8,352
17.9,235
18.0,29
18.1,99
18.2,17
18.3,55
18.4,20
18.5,71
18.6,33
18.7,60
18.8,42
18.9,61
19.0,34
19.1,43
19.2,61
19.3,22
19.4,49
19.5,15
19.6,23
19.7,12
19.8,36
19.9,24
20.0,24
20.1,38
20.2,12
20.3,44
20.4,13
20.5,32
20.6,8
20.7,18
20.8,7
20.9,34
21.0,9
21.1,26
21.2,51
21.3,3
21.4,22
21.5,12
21.6,22
21.7,7
21.8,18
21.9,24
22.0,30
22.1,40
22.2,54
22.3,22
22.4,11
22.5,15
22.6,10
22.7,15
22.8,5
22.9,21
23.0,6
23.1,93
23.2,13
23.3,27
23.4,40
23.5,6
23.6,10
23.7,5
23.8,10
23.9,1
24.0,7
24.1,6
24.2,11
24.3,2
24.4,13
24.5,15
24.6,7
24.7,13
24.8,1
24.9,5
25.0,8
25.1,12
25.2,4
25.3,16
25.4,57
25.5,11
25.6,8
25.7,2
25.8,9
25.9,2
26.0,14
26.1,4
26.2,8
26.3,1
26.4,13
26.5,4
26.6,5
26.7,4
26.8,2
26.9,3
27.0,4
27.1,5
27.2,4
27.3,6
27.4,3
27.5,1
27.6,5
27.7,5
27.8,10
27.9,1
28.0,5
28.2,4
28.3,2
28.4,6
28.6,14
28.7,2
28.8,2
28.9,3
29.0,5
29.1,10
29.2,1
29.3,6
29.4,2
29.5,1
29.6,1
29.9,17
30.0,2
30.1,1
30.3,15
30.4,2
30.5,1
30.6,4
30.8,6
30.9,7
31.0,1
31.1,4
31.2,3
31.3,3
31.5,2
31.7,5
31.9,2
32.2,1
32.6,1
32.7,2
32.8,5
33.0,1
33.2,4
33.3,3
33.5,1
33.6,5
33.7,2
33.9,2
34.0,2
34.1,2
34.2,1
34.3,1
34.5,1
34.6,1
34.8,1
35.1,1
35.2,2
35.5,3
35.7,2
35.8,1
35.9,1
36.1,1
36.2,1
36.3,2
36.4,1
36.5,3
36.6,1
36.8,1
37.2,1
37.3,1
37.4,4
37.5,2
37.6,1
37.7,1
37.9,1
38.1,1
38.5,2
38.7,2
38.8,3
38.9,1
39.0,1
39.2,1
39.4,2
39.5,1
40.1,2
40.3,1
40.5,1
40.7,1
40.8,4
40.9,1
41.0,3
41.5,2
41.6,1
41.8,1
42.1,1
42.3,1
42.5,1
43.2,1
43.8,1
44.0,1
44.6,1
44.7,1
46.4,1
46.7,1
46.9,1
48.0,2
48.2,1
49.6,1
53.5,1
53.6,1
56.4,1
57.1,1
57.3,1
58.4,2
58.8,1
64.8,1
