Type,Count
s,303792
m,415120
p,25106
ddt,36067
dtd,13004
dd,180243
td,38828
q,43722
dtdd,1078
d,250885
t,172282
tt,29011
dt,64469
ddddt,136
qd,5571
hept,4524
dq,26806
dtq,520
dhept,421
ddd,79840
dp,8759
tdp,82
dddd,23380
dtt,4847
tdt,1091
dddt,3040
tdq,373
qq,492
pd,2986
ddq,5355
qt,5368
h,4838
tq,3229
ddddd,1138
dqt,371
pt,1366
ttd,1156
tdd,2136
ddtd,1439
tddd,372
qtd,112
hd,311
dqd,3747
tp,1213
dddtd,29
ttdt,31
dh,1108
ddtq,93
dqdd,92
ddp,551
dtddd,27
qddd,30
qdt,176
tqt,31
ddtdd,35
pq,365
ddtt,297
dtp,85
ddddq,55
ttdd,72
qdd,380
th,197
heptd,293
tpd,12
dddq,389
ddqt,49
dddp,84
ttq,236
dddddd,12
ht,96
hdd,38
ddqd,66
dttd,34
dtdt,309
ttt,171
qp,59
dpd,173
qdq,44
tdtd,10
tddt,78
ddh,57
dqq,42
dtdq,40
ddtdt,5
pdd,41
dtddt,17
tqd,64
qtt,10
dddddt,12
dpdd,11
qddt,6
tddq,17
dqdt,8
dddtt,17
tddtd,1
pdt,12
tttd,2
dpt,10
dttt,14
dhd,4
tdtt,7
tdddd,4
ptd,2
tdddt,1
dddqd,1
ddddtd,1
qqd,1
dtdtd,1
tqdd,1
