Value,Count
0.0,376
0.01,12772
0.02,167968
0.03,385512
0.04,483507
0.05,432423
0.06,455631
0.07,302643
0.08,214750
0.09,148915
0.1,113183
0.11,72499
0.12,43646
0.13,25979
0.14,16449
0.15,11453
0.16,8398
0.17,6091
0.18,4601
0.19,3357
0.2,2589
0.21,1953
0.22,1660
0.23,1253
0.24,1430
0.25,1743
0.26,1071
0.27,715
0.28,621
0.29,531
0.3,449
0.31,398
0.32,319
0.33,349
0.34,250
0.35,435
0.36,604
0.37,400
0.38,183
0.39,188
0.4,129
0.41,120
0.42,103
0.43,115
0.44,89
0.45,87
0.46,78
0.47,58
0.48,59
0.49,34
0.5,41
0.51,45
0.52,45
0.53,31
0.54,30
0.55,17
0.56,27
0.57,12
0.58,15
0.59,8
0.6,8
0.61,5
0.62,6
0.63,8
0.64,17
0.65,4
0.66,4
0.67,3
0.68,3
0.69,1
0.7,3
0.71,1
0.72,2
0.74,1
0.75,1
0.76,1
0.79,1
0.81,1
