Chemical_Shift,Count
-15.8,1
-13.3,6
-12.2,1
-8.7,1
-7.9,1
-6.3,5
-5.7,1
-5.4,2
-5.3,1
-5.2,9
-5.1,3
-5.0,6
-4.9,1
-4.6,2
-3.7,2
-2.0,1
-1.8,1
-1.6,7
-1.4,1
-1.3,9
-1.2,5
-1.1,2
-0.9,1
-0.8,4
-0.7,2
-0.5,1
-0.4,1
-0.3,7
-0.2,2
-0.1,3
0.0,3
0.1,25
0.3,15
0.4,3
0.5,1
0.6,1
0.8,4
0.9,7
1.0,7
1.1,28
1.2,9
1.3,20
1.4,7
1.5,4
1.6,4
1.7,5
1.8,1
1.9,4
2.0,9
2.1,3
2.2,2
2.3,3
2.4,11
2.5,13
2.6,20
2.7,10
2.8,19
2.9,12
3.0,12
3.1,13
3.2,34
3.3,48
3.4,48
3.5,143
3.6,102
3.7,391
3.8,25
3.9,44
4.0,42
4.1,194
4.2,251
4.3,827
4.4,175
4.5,173
4.6,98
4.7,53
4.8,76
4.9,199
5.0,65
5.1,235
5.2,581
5.3,123
5.4,164
5.5,257
5.6,322
5.7,97
5.8,75
5.9,92
6.0,149
6.1,71
6.2,76
6.3,153
6.4,203
6.5,289
6.6,330
6.7,154
6.8,180
6.9,334
7.0,90
7.1,81
7.2,130
7.3,433
7.4,1036
7.5,487
7.6,352
7.7,458
7.8,507
7.9,538
8.0,981
8.1,701
8.2,1013
8.3,1010
8.4,1087
8.5,727
8.6,1338
8.7,853
8.8,1039
8.9,586
9.0,666
9.1,609
9.2,926
9.3,653
9.4,659
9.5,925
9.6,541
9.7,1063
9.8,663
9.9,732
10.0,829
10.1,610
10.2,722
10.3,817
10.4,1347
10.5,1118
10.6,955
10.7,1268
10.8,758
10.9,1000
11.0,1041
11.1,959
11.2,1859
11.3,2010
11.4,2007
11.5,2253
11.6,1184
11.7,1336
11.8,1137
11.9,2231
12.0,1594
12.1,1292
12.2,1376
12.3,1446
12.4,1913
12.5,2118
12.6,2232
12.7,1473
12.8,1109
12.9,1493
13.0,2119
13.1,2866
13.2,1702
13.3,1968
13.4,2414
13.5,1815
13.6,2590
13.7,2873
13.8,6685
13.9,6511
14.0,8645
14.1,23655
14.2,14351
14.3,15557
14.4,4953
14.5,2940
14.6,2387
14.7,5455
14.8,3813
14.9,2437
15.0,2276
15.1,1805
15.2,3759
15.3,2419
15.4,1966
15.5,3482
15.6,1854
15.7,1692
15.8,1622
15.9,2567
16.0,3157
16.1,2176
16.2,2937
16.3,3232
16.4,3313
16.5,1790
16.6,1495
16.7,2002
16.8,1616
16.9,1981
17.0,1768
17.1,1539
17.2,1461
17.3,1700
17.4,1765
17.5,2154
17.6,1701
17.7,1724
17.8,1943
17.9,2658
18.0,3700
18.1,2911
18.2,2281
18.3,2372
18.4,2138
18.5,2463
18.6,1952
18.7,2135
18.8,2223
18.9,2255
19.0,2019
19.1,2387
19.2,2661
19.3,3085
19.4,2176
19.5,2239
19.6,2709
19.7,2447
19.8,4037
19.9,3184
20.0,2488
20.1,3073
20.2,3501
20.3,3255
20.4,3704
20.5,3973
20.6,3529
20.7,4566
20.8,4718
20.9,5233
21.0,5568
21.1,6001
21.2,4078
21.3,5265
21.4,5927
21.5,3415
21.6,6351
21.7,3654
21.8,4291
21.9,3874
22.0,4836
22.1,3727
22.2,3595
22.3,4432
22.4,4470
22.5,5681
22.6,5630
22.7,11659
22.8,5655
22.9,4418
23.0,5118
23.1,5037
23.2,4126
23.3,3569
23.4,4399
23.5,4444
23.6,4066
23.7,4082
23.8,4355
23.9,6880
24.0,5451
24.1,4577
24.2,3709
24.3,4261
24.4,3711
24.5,4116
24.6,5441
24.7,4303
24.8,4228
24.9,4305
25.0,5748
25.1,5965
25.2,4396
25.3,5061
25.4,4425
25.5,6607
25.6,5152
25.7,5468
25.8,5017
25.9,4763
26.0,4833
26.1,5313
26.2,5883
26.3,7049
26.4,7258
26.5,6055
26.6,5418
26.7,5482
26.8,5080
26.9,5542
27.0,4643
27.1,5020
27.2,5720
27.3,6366
27.4,5423
27.5,5260
27.6,5600
27.7,5732
27.8,6232
27.9,7547
28.0,6576
28.1,7156
28.2,12022
28.3,14009
