J_Value,Count
0.5,115
0.6,6548
0.7,63306
0.8,114230
0.9,278903
1.0,67136
1.1,55733
1.2,52466
1.3,89341
1.4,88344
1.5,73855
1.6,88696
1.7,49398
1.8,55043
1.9,45788
2.0,73964
2.1,119567
2.2,159361
2.3,21541
2.4,28707
2.5,23569
2.6,22544
2.7,14386
2.8,14065
2.9,16433
3.0,10434
3.1,23584
3.2,12391
3.3,24534
3.4,13784
3.5,33086
3.6,20672
3.7,27291
3.8,31648
3.9,25523
4.0,34569
4.1,20637
4.2,39636
4.3,23310
4.4,39074
4.5,25431
4.6,43654
4.7,33860
4.8,60824
4.9,40718
5.0,46450
5.1,52636
5.2,31496
5.3,53690
5.4,28444
5.5,58096
5.6,37663
5.7,69588
5.8,44255
5.9,54425
6.0,75101
6.1,37140
6.2,63564
6.3,45773
6.4,82311
6.5,38130
6.6,74333
6.7,34473
6.8,54899
6.9,32714
7.0,67040
7.1,59997
7.2,44646
7.3,61896
7.4,35475
7.5,73324
7.6,38051
7.7,76355
7.8,49570
7.9,78220
8.0,49225
8.1,80399
8.2,85182
8.3,38061
8.4,67837
8.5,31825
8.6,58851
8.7,25549
8.8,47111
8.9,20264
9.0,26464
9.1,11555
9.2,17567
9.3,13150
9.4,4897
9.5,8430
9.6,3388
9.7,7881
9.8,2945
9.9,6523
10.0,2590
10.1,10827
10.2,10719
10.3,4980
10.4,7993
10.5,2846
10.6,6761
10.7,3039
10.8,8177
10.9,3166
11.0,10038
11.1,3704
11.2,11568
11.3,11880
11.4,8784
11.5,13391
11.6,4621
11.7,12275
11.8,4897
11.9,17326
12.0,4758
12.1,39452
12.2,10737
12.3,19542
12.4,18119
12.5,5913
12.6,17956
12.7,4914
12.8,20114
12.9,4595
13.0,22628
13.1,4974
13.2,16968
13.3,4858
13.4,16751
13.5,5858
13.6,14308
13.7,14622
13.8,5065
13.9,14290
14.0,3623
14.1,14880
14.2,4046
14.3,10105
14.4,2787
14.5,8412
14.6,3720
14.7,7034
14.8,7657
14.9,1563
15.0,6384
15.1,1554
15.2,5682
15.3,1239
15.4,4957
15.5,1096
15.6,4557
15.7,1904
15.8,3755
15.9,4158
16.0,1080
16.1,4184
16.2,1588
16.3,5514
16.4,1109
16.5,4037
16.6,1319
16.7,3104
16.8,1868
16.9,3802
17.0,3818
17.1,808
17.2,2379
17.3,666
17.4,1004
17.5,197
17.6,857
17.7,178
17.8,760
17.9,563
18.0,69
18.1,217
18.2,74
18.3,165
18.4,69
18.5,178
18.6,80
18.7,184
18.8,109
18.9,184
19.0,101
19.1,103
19.2,133
19.3,41
19.4,141
19.5,37
19.6,93
19.7,32
19.8,111
19.9,62
20.0,65
20.1,78
20.2,24
20.3,156
20.4,33
20.5,75
20.6,27
20.7,46
20.8,23
20.9,108
21.0,21
21.1,59
21.2,94
21.3,21
21.4,80
21.5,29
21.6,66
21.7,12
